"","x"
"677","Zfp41"
"678","Zfp442"
"679","Zfp516"
"680","Zfp618"
"681","Zfp710"
"682","Zfp784"
"683","Zfp804a"
"684","Zfp937"
"685","Zfp97"
"686","Zfp976"
"687","Zhx1"
"688","Zmym3"
